Lat,Lon,dayofweek,hour
40.7751,-73.9567,1,8
40.82,-73.9467,1,1
40.7582,-73.989,1,12
40.7475,-73.985,1,17
40.7363,-74.0029,1,18
40.728,-74.0021,1,13
40.7727,-73.9611,1,20
40.746,-73.9821,1,17
40.7883,-73.9743,1,8
40.7216,-73.975,1,18
40.7112,-74.0056,1,16
40.7464,-73.98,1,8
40.7749,-73.9825,1,14
40.7598,-73.972,1,19
40.7341,-73.9588,1,7
40.7442,-73.9998,1,0
40.7696,-73.9516,1,16
40.7238,-74.0003,1,8
40.7337,-73.9884,1,18
40.7679,-73.9915,1,15
40.7568,-73.9981,1,19
40.7021,-73.9896,1,13
40.7172,-74.033,1,16
40.7786,-73.982,1,19
40.7513,-73.9755,1,16
40.7489,-73.9954,1,11
40.7838,-73.9503,1,16
40.7397,-73.9868,1,15
40.7682,-73.8621,1,14
40.7236,-74.0109,1,7
40.7164,-73.9592,1,16
40.7649,-73.9768,1,19
40.7769,-73.9516,1,17
40.7355,-73.9794,1,19
40.7555,-73.9751,1,20
40.7544,-73.9805,1,17
40.738,-73.9242,1,22
40.7654,-73.9802,1,17
40.757,-73.9606,1,6
40.725,-73.9956,1,11
40.6872,-73.9568,1,22
40.8234,-73.9161,1,8
40.7114,-74.0082,1,0
40.7814,-73.9559,1,6
40.7202,-73.9993,1,18
40.7475,-74.0016,1,7
40.7712,-73.9679,1,20
40.7348,-74.0015,1,5
40.7214,-73.9886,1,20
40.7628,-74.0222,1,23
40.8203,-73.9552,1,10
40.7625,-73.9702,1,21
40.7166,-73.9618,1,20
40.7819,-73.956,1,14
40.7406,-73.9945,1,13
40.7634,-73.972,1,23
40.7416,-74.0011,1,10
40.6818,-73.9179,1,5
40.7553,-73.9799,1,23
40.7475,-73.9919,1,8
40.7665,-73.9518,1,17
40.7526,-73.9734,1,17
40.8279,-73.9511,1,19
40.7473,-73.9247,1,10
40.7721,-73.9879,1,14
40.7153,-73.9666,1,0
40.7392,-74.0012,1,20
40.714,-74.0096,1,5
40.761,-73.978,1,21
40.6781,-73.9715,1,3
40.7597,-73.9659,1,17
40.7615,-74.0,1,7
40.7508,-73.9807,1,18
40.7343,-74.0062,1,16
40.7728,-73.8859,1,18
40.7702,-73.8648,1,6
40.7598,-73.9732,1,23
40.7747,-73.9134,1,4
40.7538,-73.9808,1,20
40.7493,-74.0032,1,14
40.7478,-73.9832,1,14
40.7741,-73.8719,1,18
40.7327,-73.9982,1,5
40.7629,-73.9699,1,19
40.7566,-73.983,1,19
40.7402,-73.9875,1,16
40.693,-73.9503,1,10
40.745,-73.9978,1,23
40.8511,-73.846,1,19
40.7571,-73.9694,1,20
40.7235,-74.0108,1,21
40.7388,-74.0092,1,6
40.7562,-73.9852,1,22
40.7353,-73.8651,1,16
40.767,-73.956,1,12
40.7616,-73.9729,1,19
40.7142,-74.0137,1,13
40.7378,-73.9737,1,17
40.7046,-74.0084,1,15
40.7227,-74.0046,1,18
40.7745,-73.9639,1,18
40.774,-73.8726,1,17
40.7906,-74.0543,1,9
40.692,-73.9957,1,18
40.7794,-73.9599,1,15
40.7599,-73.9761,1,16
40.7603,-73.9781,1,3
40.7562,-73.9799,1,17
40.7024,-74.0137,1,14
40.715,-74.0133,1,2
40.7563,-73.9865,1,18
40.654,-73.9562,1,7
40.7168,-73.9545,1,4
40.7305,-73.9902,1,19
40.7386,-73.6414,1,13
40.8154,-73.9418,1,16
40.73,-73.9985,1,14
40.7269,-74.002,1,7
40.6886,-73.9967,1,17
40.7557,-73.9873,1,21
40.7266,-74.0056,1,18
40.7413,-73.9831,1,5
40.7709,-73.986,1,22
40.7092,-74.012,1,18
40.718,-74.0098,1,21
40.7614,-73.9818,1,20
40.7752,-73.9911,1,14
40.7517,-73.9768,1,20
40.7255,-74.0076,1,7
40.7447,-73.9823,1,17
40.7899,-73.9772,1,5
40.7703,-73.9685,1,5
40.7581,-73.9838,1,20
40.7211,-73.9906,1,4
40.7074,-74.0042,1,20
40.7073,-74.0085,1,15
40.6296,-73.9718,1,14
40.7333,-74.005,1,21
40.7637,-73.9811,1,18
40.7896,-73.9546,1,13
40.6819,-73.9768,1,21
40.7679,-73.8676,1,6
40.6463,-73.777,1,5
40.5773,-73.9581,1,12
40.7521,-73.9751,1,15
40.7152,-74.0161,1,10
40.7452,-74.0078,1,16
40.7489,-73.9822,1,15
40.7561,-73.9793,1,9
40.7593,-73.9809,1,11
40.7562,-73.9737,1,17
40.7362,-74.0031,1,7
40.7476,-73.897,1,19
40.8555,-73.9343,1,17
40.7506,-74.0021,1,16
40.7468,-73.9808,1,2
40.7416,-74.003,1,6
40.7419,-73.9161,1,7
40.7303,-74.0081,1,19
40.7395,-73.9921,1,14
40.7581,-73.9894,1,9
40.9888,-73.8081,1,13
40.7216,-73.9902,1,20
40.7574,-73.9718,1,7
40.7223,-73.9971,1,20
40.7911,-73.9538,1,16
40.7218,-73.9791,1,10
40.7475,-73.9931,1,18
40.7164,-74.0164,1,15
40.72,-74.0102,1,12
40.7386,-74.0087,1,20
40.7585,-73.9736,1,19
40.7539,-73.9805,1,7
40.808,-73.966,1,18
40.6915,-73.9896,1,7
40.7791,-73.9581,1,15
40.7081,-74.0095,1,18
40.7248,-73.9986,1,17
40.7949,-73.9641,1,0
40.7148,-74.011,1,12
40.7236,-74.0108,1,15
40.7876,-73.9559,1,8
40.7595,-73.9734,1,23
40.7572,-73.9752,1,19
40.5889,-73.9603,1,12
40.6448,-73.7823,1,21
40.7621,-73.9716,1,21
40.7546,-73.9783,1,15
40.7428,-73.9868,1,15
40.737,-73.9919,1,6
40.7501,-74.0058,1,18
40.7333,-73.9911,1,17
40.7452,-73.9924,1,17
40.7699,-73.8645,1,20
40.7143,-74.0152,1,18
40.7101,-74.013,1,4
40.7516,-74.0058,1,11
40.7201,-74.0052,1,12
40.7202,-73.9917,1,4
40.7735,-73.96,1,8
40.815,-73.936,1,10
40.7598,-73.9778,1,17
40.7617,-73.9839,1,14
40.724,-73.9962,1,18
40.7636,-73.9782,1,7
40.7649,-73.9784,1,9
40.7189,-73.9579,1,5
40.7453,-73.9887,1,11
40.6613,-73.9935,1,0
40.7781,-73.9611,1,16
40.7465,-74.0083,1,13
40.7417,-73.9918,1,15
40.7079,-74.0118,1,20
40.728,-73.9951,1,13
40.8956,-73.7844,1,9
40.6949,-73.9531,1,0
40.7565,-73.9663,1,8
40.7356,-73.9866,1,9
40.7548,-73.9736,1,17
40.7679,-73.9915,1,10
40.6651,-73.8418,1,5
40.7052,-74.0074,1,11
40.7386,-74.0129,1,18
40.6467,-73.7814,1,14
40.7679,-73.953,1,13
40.6743,-73.9797,1,10
40.7514,-73.9936,1,18
40.7437,-74.0021,1,5
40.696,-73.9682,1,1
40.763,-73.9699,1,13
40.7828,-73.9571,1,7
40.7297,-73.9898,1,7
40.751,-74.004,1,23
40.7783,-73.949,1,13
40.7802,-73.9842,1,23
40.7838,-73.9717,1,8
40.7452,-73.8426,1,16
40.7103,-74.0076,1,8
40.6486,-73.783,1,5
40.6449,-73.7821,1,9
40.6447,-73.7824,1,7
40.7228,-73.9829,1,20
40.7301,-74.0081,1,16
40.7238,-73.9966,1,11
40.759,-73.977,1,11
40.7491,-74.0035,1,18
40.7616,-73.9728,1,13
40.6456,-73.7767,1,10
40.742,-73.9849,1,16
40.7626,-73.9861,1,14
40.7429,-73.9849,1,7
40.7696,-73.9893,1,17
40.7395,-74.0064,1,16
40.7562,-73.9752,1,16
40.7694,-73.975,1,12
40.7632,-73.9892,1,20
40.704,-74.0143,1,15
40.6691,-73.9506,1,6
40.7103,-73.9634,1,2
40.7472,-73.9564,1,18
40.7443,-73.9802,1,19
40.7402,-74.0031,1,8
40.757,-73.9716,1,17
40.7229,-74.008,1,17
40.7461,-73.986,1,16
40.7599,-73.9921,1,7
40.7523,-73.9796,1,20
40.7273,-73.9845,1,21
40.7645,-73.9807,1,19
40.7002,-73.9859,1,19
40.713,-73.9962,1,12
40.7121,-73.9344,1,18
40.7743,-73.9632,1,8
40.7209,-73.988,1,1
40.7136,-74.0119,1,13
40.842,-73.9361,1,19
40.7498,-73.9752,1,18
40.7278,-74.0073,1,19
40.6444,-73.7818,1,5
40.7494,-73.9768,1,10
40.7254,-73.9875,1,20
40.7148,-74.0149,1,16
40.7591,-73.9883,1,20
40.7781,-73.9484,1,14
40.6762,-73.9801,1,17
40.7043,-74.0086,1,15
40.7304,-73.9935,1,0
40.7842,-73.9505,1,8
40.7257,-74.0052,1,6
40.7533,-73.9859,1,17
40.7832,-73.982,1,12
40.7605,-73.9644,1,11
40.7585,-73.9925,1,11
40.7279,-73.9565,1,5
40.6762,-73.9799,1,20
40.7277,-73.9835,1,19
40.7503,-73.9829,1,17
40.6445,-73.7827,1,21
40.7823,-73.9804,1,23
40.7581,-73.9958,1,20
40.7147,-74.0335,1,16
40.7216,-73.9887,1,22
40.7226,-73.9982,1,15
40.771,-73.866,1,6
40.7569,-73.9984,1,1
40.7595,-73.9855,1,18
40.7367,-73.9846,1,19
40.7507,-74.0034,1,21
40.7246,-73.9916,1,20
40.7318,-74.0011,1,22
40.7404,-73.9863,1,15
40.7447,-73.9915,1,3
40.7465,-73.9815,1,15
40.7334,-74.0046,1,5
40.7487,-74.0043,1,13
40.756,-73.9632,1,16
40.7743,-73.9871,1,10
40.7607,-73.9994,1,0
40.7219,-74.0045,1,14
40.7696,-73.969,1,17
40.7358,-73.9788,1,11
40.7203,-73.9891,1,12
40.7186,-73.9948,1,10
40.7331,-73.9959,1,18
40.7466,-73.9953,1,6
40.7566,-73.9836,1,22
40.8242,-73.9392,1,10
40.7823,-73.9808,1,10
40.7571,-73.9782,1,13
40.7576,-73.9822,1,18
40.7529,-73.9671,1,17
40.7267,-73.9962,1,3
40.7743,-73.9456,1,7
40.7191,-73.9626,1,22
40.7458,-74.0085,1,16
40.7519,-73.9819,1,16
40.6799,-73.9074,1,18
40.7491,-73.9923,1,1
40.7532,-73.9739,1,16
40.7567,-73.9786,1,10
40.737,-74.0028,1,10
40.6476,-73.8911,1,23
40.7656,-73.9807,1,16
40.7388,-74.0088,1,17
40.7139,-73.956,1,2
40.7192,-73.9938,1,8
40.7732,-73.8855,1,16
40.6108,-74.0137,1,6
40.7722,-73.9862,1,0
40.7569,-73.9826,1,17
40.7665,-73.9683,1,12
40.731,-73.9859,1,21
40.7247,-73.9918,1,7
40.761,-73.9672,1,16
40.686,-73.9525,1,7
40.705,-74.0163,1,22
40.7631,-73.9791,1,20
40.7715,-73.9598,1,18
40.7703,-73.9816,1,13
40.7148,-74.0059,1,18
40.752,-74.0034,1,9
40.7254,-73.9519,1,22
40.7582,-73.9628,1,10
40.7551,-73.9912,1,20
40.7432,-74.0291,1,21
40.7176,-74.0107,1,18
40.7093,-74.0162,1,8
40.7301,-73.9944,1,15
40.7123,-74.0088,1,15
40.7538,-73.9914,1,19
40.7478,-74.0062,1,6
40.6881,-73.9628,1,21
40.759,-73.9752,1,17
40.7339,-74.0051,1,21
40.756,-73.9801,1,23
40.7563,-73.9743,1,22
40.7559,-73.9833,1,19
40.7248,-73.9921,1,14
40.7579,-73.9816,1,7
40.7567,-73.9892,1,23
40.7335,-73.9932,1,12
40.7286,-73.9985,1,20
40.7684,-73.9825,1,16
40.7293,-73.9919,1,20
40.764,-73.996,1,13
40.7452,-73.9869,1,16
40.6447,-73.7821,1,14
40.7215,-74.0107,1,6
40.759,-73.9723,1,5
40.7233,-73.9987,1,18
40.7863,-73.9559,1,13
40.7509,-73.9909,1,18
40.7487,-73.9758,1,20
40.7952,-73.9753,1,6
40.7322,-73.9942,1,5
40.7741,-73.8723,1,12
40.7493,-73.9889,1,15
40.7312,-74.0082,1,19
40.7818,-73.9571,1,8
40.7645,-73.9894,1,3
