Lat,Lon,dayofweek,hour
40.7587,-73.9689,4,11
40.7262,-73.9834,4,14
40.7147,-73.961,4,9
40.696,-73.9912,4,21
40.8657,-73.927,4,22
40.6449,-73.7822,4,12
40.7533,-73.934,4,8
40.6543,-73.9771,4,21
40.7409,-74.0053,4,2
40.7438,-73.9735,4,22
40.7568,-73.9674,4,17
40.744,-73.9794,4,0
40.7202,-74.0103,4,16
40.7553,-73.9684,4,11
40.7757,-73.9269,4,18
40.758,-73.9714,4,12
40.7512,-73.9841,4,18
40.7531,-73.9793,4,13
40.7332,-73.9913,4,4
40.6451,-73.7805,4,19
40.7509,-74.0057,4,13
40.7362,-74.0042,4,10
40.7655,-73.9791,4,20
40.6467,-73.7899,4,20
40.6775,-73.9466,4,20
40.7268,-73.9868,4,8
40.7559,-73.9914,4,17
40.7632,-73.992,4,7
40.6773,-73.9541,4,9
40.7611,-73.9853,4,13
40.646,-73.7767,4,23
40.8667,-73.9243,4,17
40.7368,-73.9888,4,18
40.7661,-73.9562,4,22
40.7514,-73.9821,4,16
40.7355,-73.9793,4,19
40.7869,-73.9504,4,18
40.7214,-73.9974,4,22
40.7362,-74.0039,4,15
40.7192,-74.0057,4,7
40.7348,-73.9929,4,14
40.723,-73.9974,4,9
40.7203,-74.0115,4,1
40.7644,-73.9832,4,16
40.7618,-73.9994,4,9
40.7141,-73.952,4,9
40.6461,-73.7769,4,17
40.7474,-73.9769,4,18
40.757,-73.9912,4,22
40.7199,-73.9551,4,18
40.7648,-73.9841,4,23
40.6853,-73.9586,4,15
40.7297,-74.0027,4,22
40.7251,-73.997,4,12
40.7289,-73.9882,4,11
40.7568,-73.9829,4,21
40.7652,-73.9475,4,9
40.7341,-73.9994,4,15
40.7533,-73.9753,4,18
40.7352,-73.988,4,17
40.8838,-73.8555,4,7
40.7032,-73.935,4,17
40.7426,-73.9495,4,22
40.7391,-74.0011,4,6
40.7531,-73.9838,4,21
40.7446,-74.0096,4,14
40.6809,-74.2066,4,17
40.7377,-74.0287,4,10
40.7397,-73.9868,4,13
40.8046,-73.9377,4,22
40.7423,-74.0042,4,0
40.7544,-73.9987,4,23
40.7936,-73.9726,4,17
40.714,-73.9899,4,20
40.7522,-73.9684,4,7
40.7063,-74.0096,4,15
40.7643,-73.9621,4,18
40.7444,-73.9232,4,19
40.76,-73.9806,4,14
40.7876,-73.9744,4,15
40.7741,-73.872,4,11
40.7697,-73.9545,4,19
40.7472,-73.9841,4,9
40.7286,-74.0,4,10
40.7679,-73.9823,4,19
40.7563,-73.9681,4,23
40.759,-73.9749,4,16
40.6448,-73.7821,4,19
40.7266,-73.9802,4,7
40.7539,-73.9921,4,17
40.7332,-73.9908,4,15
40.7075,-74.0161,4,8
40.683,-73.9791,4,18
40.7739,-73.872,4,9
40.7578,-73.9836,4,12
40.7585,-73.9703,4,23
40.7761,-73.9575,4,17
40.7587,-73.974,4,11
40.708,-74.0045,4,22
40.6448,-73.7822,4,14
40.7086,-73.9585,4,17
40.7498,-73.9793,4,20
40.7748,-73.9582,4,9
40.7153,-73.9392,4,8
40.7392,-73.9935,4,17
40.6457,-73.7768,4,18
40.879,-73.8734,4,2
40.7477,-73.993,4,22
40.752,-73.995,4,22
40.8312,-73.9042,4,13
40.7211,-73.9957,4,23
40.7431,-73.9874,4,17
40.7549,-73.9759,4,12
40.7587,-73.9658,4,11
40.7462,-73.9779,4,12
40.7555,-73.9949,4,17
40.7309,-73.9953,4,7
40.7681,-73.9572,4,5
40.7089,-73.9986,4,17
40.8273,-73.9251,4,20
40.7505,-73.9945,4,16
40.7632,-73.9861,4,19
40.7213,-73.9818,4,17
40.7103,-73.996,4,3
40.7597,-73.9763,4,14
40.8512,-73.9284,4,13
40.7441,-73.988,4,0
40.7771,-73.958,4,23
40.7211,-74.0506,4,10
40.7154,-74.0051,4,15
40.7334,-74.0047,4,7
40.7484,-73.9782,4,20
40.7527,-73.9702,4,22
40.745,-73.9936,4,10
40.7147,-73.9976,4,21
40.7507,-73.9792,4,12
40.7518,-73.985,4,11
40.7598,-73.9715,4,14
40.7541,-73.9859,4,3
40.7551,-73.9863,4,12
40.7762,-73.9596,4,8
40.7427,-73.9867,4,16
40.7774,-73.9888,4,0
40.6447,-73.7818,4,1
40.7106,-73.9659,4,16
40.7197,-73.9989,4,21
40.7867,-73.7263,4,16
40.7552,-73.9758,4,15
40.6686,-73.9768,4,9
40.7307,-73.9989,4,20
40.7012,-73.9235,4,20
40.7197,-74.0005,4,14
40.7328,-74.0021,4,5
40.7279,-73.9823,4,20
40.9575,-73.7535,4,18
40.6786,-74.0106,4,17
40.7342,-73.9937,4,22
40.7937,-73.9724,4,20
40.7524,-73.9778,4,11
40.6466,-73.7892,4,16
40.7512,-74.0068,4,8
40.7504,-73.9693,4,21
40.7488,-73.9822,4,13
40.794,-73.9668,4,15
40.6458,-73.7766,4,16
40.7357,-73.994,4,15
40.7435,-73.9737,4,10
40.7334,-73.9931,4,10
40.6618,-73.9609,4,19
40.7112,-74.0056,4,16
40.69,-74.1779,4,19
40.7521,-73.9917,4,18
40.6877,-74.1816,4,15
40.7317,-73.9904,4,6
40.7491,-73.98,4,9
40.7284,-73.9847,4,1
40.7021,-73.9952,4,18
40.7437,-73.9837,4,0
40.7622,-73.9275,4,22
40.7495,-73.9778,4,9
40.7458,-73.9882,4,23
40.7365,-73.9974,4,17
40.6939,-73.9061,4,18
40.7372,-74.002,4,22
40.7737,-73.9811,4,23
40.6916,-73.9546,4,18
40.7419,-73.9833,4,14
40.7517,-74.005,4,14
40.7101,-74.0099,4,16
40.7619,-73.9861,4,21
40.7964,-73.9492,4,7
40.7063,-74.0166,4,10
40.687,-74.0017,4,9
40.7535,-73.9666,4,18
40.753,-73.9786,4,12
