Lat,Lon,dayofweek,hour
40.7424,-73.9918,0,17
40.7238,-74.0106,0,8
40.7196,-73.991,0,12
40.7575,-73.9816,0,22
40.7493,-73.9941,0,21
40.6462,-73.7902,0,23
40.7838,-73.9715,0,9
40.7628,-73.969,0,10
40.7692,-73.9827,0,13
40.7179,-73.9904,0,4
40.7619,-73.9695,0,19
40.7697,-73.8645,0,18
40.7546,-73.9925,0,16
40.757,-73.9982,0,7
40.7596,-73.9855,0,10
40.7662,-73.9815,0,15
40.7361,-73.9746,0,9
40.8078,-73.9584,0,6
40.7552,-73.9867,0,16
40.7514,-73.9854,0,7
40.7346,-74.0,0,22
40.7462,-73.9145,0,17
40.7637,-73.9695,0,17
40.779,-73.9882,0,8
40.7618,-73.9688,0,8
40.6879,-74.1831,0,4
40.6931,-73.9676,0,17
40.7557,-73.9836,0,16
40.7794,-73.9493,0,18
40.8085,-73.9452,0,21
40.7714,-73.878,0,7
40.7224,-73.9931,0,14
40.6715,-73.9754,0,1
40.7527,-73.9808,0,17
40.7363,-73.994,0,18
40.7562,-73.9784,0,21
40.7591,-73.9945,0,20
40.6759,-74.0164,0,17
40.7126,-73.9568,0,8
40.744,-73.9836,0,7
40.7468,-73.9901,0,17
40.6743,-73.9988,0,7
40.7087,-73.9513,0,15
40.7044,-73.9203,0,21
40.7553,-73.8513,0,18
40.7583,-73.9821,0,16
40.7115,-73.9577,0,19
40.7484,-73.9388,0,11
40.8269,-73.9235,0,14
40.7267,-73.9554,0,5
40.6467,-73.7775,0,0
40.7474,-73.9854,0,16
40.7534,-73.9792,0,13
40.7889,-73.9543,0,14
40.7552,-73.9685,0,18
40.7492,-73.9797,0,18
40.7608,-73.9797,0,21
40.731,-74.0048,0,13
40.7368,-73.9788,0,5
40.8456,-73.8533,0,12
40.7399,-73.9848,0,2
40.7533,-73.9759,0,19
40.7251,-74.0075,0,11
40.7546,-73.9695,0,8
40.7328,-73.9779,0,14
40.7168,-74.0483,0,16
40.7471,-73.9898,0,15
40.7721,-73.8721,0,19
40.8388,-73.9155,0,20
40.7371,-73.9917,0,19
40.7435,-73.9889,0,20
40.7536,-73.9885,0,19
40.6881,-73.9198,0,20
40.7181,-74.0031,0,14
40.734,-73.9532,0,11
40.7575,-73.9821,0,19
40.7149,-73.9969,0,10
40.7414,-74.0072,0,16
40.7685,-73.8625,0,10
40.6648,-73.9826,0,5
40.7792,-73.9609,0,8
40.7739,-73.8725,0,12
40.7787,-73.9866,0,12
40.773,-73.8857,0,19
40.7694,-73.9597,0,16
40.7635,-73.9597,0,19
40.7428,-73.9954,0,7
40.7762,-73.9797,0,7
40.7459,-73.9568,0,4
40.7555,-73.9914,0,14
40.7537,-73.9726,0,17
40.7551,-73.9837,0,22
40.7353,-74.0098,0,8
40.7492,-73.992,0,22
40.7243,-73.9908,0,20
40.7369,-73.9928,0,8
40.3957,-74.1948,0,20
40.7161,-74.0148,0,7
40.6461,-73.7768,0,19
40.7472,-73.9741,0,9
40.7205,-74.012,0,7
40.7611,-73.9822,0,17
40.7342,-73.9872,0,3
40.7301,-73.9978,0,19
40.7746,-73.9821,0,8
40.7896,-73.97,0,14
40.7929,-73.9718,0,20
40.6839,-73.9316,0,5
40.6466,-73.7899,0,5
40.7554,-73.9855,0,12
40.7552,-73.9654,0,15
40.7148,-73.9488,0,17
40.7383,-73.9968,0,20
40.7234,-73.9771,0,10
40.8713,-74.1547,0,15
40.769,-73.9959,0,14
40.7228,-73.9942,0,21
40.7602,-73.9739,0,16
40.7388,-73.9848,0,8
40.7685,-73.8624,0,11
40.6647,-73.9865,0,20
40.7759,-73.9567,0,21
40.7579,-73.9715,0,21
40.774,-73.8722,0,11
40.7616,-73.9667,0,18
40.7537,-73.9968,0,20
40.7312,-74.0101,0,6
40.7129,-73.9964,0,11
40.7246,-73.9986,0,20
40.7592,-73.9809,0,17
40.7598,-73.9877,0,18
40.7673,-73.9845,0,16
40.7264,-74.0023,0,0
40.7319,-73.9841,0,19
40.7302,-73.9836,0,19
40.7005,-73.9439,0,7
40.8229,-73.9432,0,9
40.8246,-73.8958,0,16
40.7555,-73.9732,0,20
40.6795,-73.9651,0,10
40.7595,-73.9953,0,14
40.7391,-73.9986,0,14
40.722,-73.9888,0,13
40.6778,-73.9839,0,21
40.7354,-73.9748,0,7
40.7345,-73.9917,0,13
40.6464,-73.7896,0,2
40.6483,-73.7827,0,5
40.6925,-73.9736,0,4
40.7622,-73.9794,0,19
40.7528,-74.004,0,6
40.787,-73.9777,0,20
40.7474,-73.9853,0,17
40.7783,-73.9768,0,7
40.7862,-73.9713,0,5
40.6915,-74.1767,0,16
40.7247,-73.9957,0,14
40.7199,-74.0035,0,22
40.7417,-74.0074,0,18
40.7144,-73.9656,0,23
40.7361,-74.0015,0,18
40.7511,-73.9809,0,15
40.8405,-73.8894,0,0
40.7578,-73.982,0,10
40.6905,-73.9723,0,0
40.7507,-73.9921,0,17
40.7228,-74.0046,0,18
40.7804,-73.9516,0,17
40.7382,-74.009,0,23
40.7676,-73.9365,0,13
40.7252,-73.9922,0,12
40.7356,-73.9965,0,7
40.7075,-74.0086,0,0
40.7104,-74.009,0,18
40.6878,-74.1812,0,18
40.7454,-73.9946,0,17
40.7712,-73.9615,0,7
40.7438,-74.0064,0,11
40.6483,-73.7828,0,13
40.7547,-74.0071,0,14
40.7286,-74.0699,0,18
40.753,-73.9813,0,22
40.7562,-73.9751,0,20
