Lat,Lon,dayofweek,hour
40.7221,-73.9584,6,2
40.7378,-73.9803,6,9
40.7409,-73.9883,6,23
40.7682,-73.8621,6,20
40.737,-73.9743,6,4
40.77,-73.9809,6,1
40.7208,-73.9871,6,13
40.7291,-74.0026,6,21
40.7821,-73.9517,6,15
40.7645,-73.9619,6,13
40.7237,-73.9822,6,21
40.6459,-73.7766,6,9
40.7251,-73.9793,6,13
40.7656,-73.9761,6,0
40.675,-73.9298,6,8
40.78,-73.9786,6,10
40.7087,-73.9378,6,18
40.7579,-73.982,6,0
40.7515,-73.9397,6,19
40.7402,-73.9959,6,15
40.7966,-73.9705,6,12
40.7636,-73.9799,6,13
40.7245,-73.9988,6,8
40.7052,-74.0079,6,18
40.7473,-73.974,6,13
40.7428,-74.0,6,9
40.7424,-74.0043,6,20
40.7719,-74.0358,6,2
40.7375,-74.0003,6,23
40.7324,-73.9871,6,17
40.6421,-73.788,6,16
40.7328,-73.9912,6,15
40.7641,-73.9983,6,17
40.7197,-74.0003,6,22
40.7233,-73.9518,6,17
40.7223,-73.9969,6,16
40.751,-74.0042,6,1
40.7235,-74.0044,6,0
40.6878,-73.9852,6,0
40.7954,-73.9754,6,16
40.7214,-73.8454,6,14
40.8742,-73.5325,6,13
40.6761,-73.9609,6,11
40.7668,-73.9892,6,12
40.722,-73.9577,6,2
40.7519,-73.9781,6,20
40.7494,-73.9873,6,16
40.7691,-73.913,6,16
40.6958,-73.911,6,13
40.7397,-74.0053,6,2
40.7263,-74.0005,6,21
40.7287,-73.9761,6,9
40.7402,-73.9896,6,17
40.6661,-73.9924,6,0
40.7684,-73.8618,6,16
40.7641,-73.9885,6,8
40.646,-73.7768,6,23
40.6464,-73.7897,6,19
40.774,-73.8718,6,23
40.7081,-73.9428,6,15
40.7239,-73.9897,6,14
40.7358,-73.9894,6,20
40.5879,-73.7956,6,10
40.7764,-73.9796,6,11
40.7861,-73.977,6,14
40.6139,-74.0136,6,0
40.7561,-73.9728,6,2
40.7599,-73.8289,6,12
40.6878,-74.1823,6,21
40.7231,-73.9948,6,7
40.743,-73.7184,6,11
40.7561,-73.9835,6,16
40.7647,-73.9835,6,21
40.7152,-74.0111,6,22
40.7714,-73.9565,6,19
40.7697,-73.8641,6,13
40.7286,-73.9996,6,1
40.7688,-73.958,6,8
40.7719,-73.9827,6,16
40.7374,-74.0311,6,0
40.6719,-74.01,6,16
40.7552,-73.9253,6,15
40.7195,-73.9888,6,0
40.749,-73.9883,6,12
40.745,-73.989,6,18
40.6458,-73.7766,6,19
40.7326,-73.9855,6,20
40.7207,-73.9952,6,22
40.7493,-73.9696,6,12
40.7385,-73.9855,6,14
40.7635,-73.9265,6,16
40.811,-73.9251,6,1
40.7573,-73.9897,6,23
40.6461,-73.7768,6,10
40.7281,-74.0,6,22
40.6904,-73.9541,6,16
40.7358,-74.0023,6,13
40.6464,-73.777,6,6
40.742,-73.9972,6,19
40.7106,-74.0073,6,10
40.6934,-73.9731,6,4
40.7402,-74.0058,6,1
40.6121,-73.9725,6,23
40.7126,-74.0097,6,12
40.8872,-73.905,6,19
40.7523,-73.9854,6,8
40.7652,-73.9694,6,19
40.7602,-73.9741,6,19
40.6928,-73.9697,6,1
40.6853,-73.9196,6,19
40.7739,-73.8724,6,22
40.7351,-73.9916,6,10
40.714,-74.0093,6,15
40.6746,-73.7968,6,20
